苏炳添,121,C,"A: 72, 18/25%"
谢震业,333,C,"B: 72, 10/13.9%"
许周政,213,A,"C: 72, 28/38.9%"
谢震业,333,C,"D: 72, 2/2.8%"
谢文骏,323,A,"E: 72, 6/8.3%"
曾建航,232,A,"F: 72, 5/6.9%"
王嘉男,212,C,
张耀广,132,C,
黄常洲,221,A,
吴瑞庭,232,A,
朱亚明,132,C,
方耀庆,133,A,
王宇,22,E,
黄博凯,222,B,
姚捷,22,E,
丁邦超,111,A,
赵庆刚,331,A,
刘启臻,221,A,
王凯华,222,B,
蔡泽林,322,C,
尹加星,211,B,
王钦,21,F,
牛文斌,221,A,
罗亚东,231,C,
多布杰,132,C,
杨绍辉,231,C,
苏炳添,121,C,
谢震业,333,C,
别舸,22,E,
许周政,213,A,
吴智强,232,A,
梁,2,,
韦永丽,223,C,
梁小静,223,C,
葛曼棋,232,A,
梁小静,223,C,
张曼,13,F,
王春雨,212,C,
许双双,211,B,
张新艳,113,C,
许双双,211,B,
李玲,22,E,
徐惠琴,232,A,
巩立姣,231,C,
宋佳媛,312,A,
张林茹,122,A,
陈扬,22,E,
冯彬,21,F,
苏欣悦,113,C,
王峥,21,F,
罗娜,23,D,
刘婷婷,222,B,
吕会会,233,B,
刘诗颖,212,C,
余玉珍,231,C,
苏玲丹,121,C,
杨家玉,213,A,
切阳什姐,3222,,
刘虹,22,E,
杨柳静,223,C,
李毛措,223,C,
马发颖,212,C,
梁瑞,23,D,
马玉贵,233,B,
李丹,21,F,
次仁措姆,3232,,
韦永丽,223,C,
梁小静,223,C,
孔令微,231,C,
葛曼棋,232,A,
袁琦琦,222,B,
黄瑰芬,211,B,
